address,leaderboard_pnl,leaderboard_volume,leaderboard_username,snapshot_url,name,x_username,verified,copyability_score,score_profitability,score_stability,score_copyability,score_focus,score_execution,realized_pnl_90d,avg_trade_pnl_90d,profit_factor_90d,win_rate_90d,max_drawdown_90d,max_losing_streak_90d,weekly_vol_90d,avg_trades_per_day_30d,avg_hold_hours_90d,near_settlement_ratio_90d,crypto_ratio,btc_ratio,market_concentration_hhi,median_trade_notional,avg_trade_notional,trades_count,closed_positions_count,buy_count_with_open_time,near_open_buy_ratio_10m,near_open_buy_ratio_30m,avg_open_delay_min,median_open_delay_min,cycle5_window_count,cycle5_first_minute_single_count,cycle5_first_minute_single_ratio,high_win_near_open
0xadfb6cba33cebca02eab6111ace1e3924b9cc2ef,13566.864916463288,83936.43410200001,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xadfb6cba33cebca02eab6111ace1e3924b9cc2ef,KnightDasCapital,,False,54.05,57.82,83.9,15.0,41.45,83.19,249.2918,4.9858,2.2716,0.82,107.7955,3,0.0,33.3333,0.0,0.0,0.822,0.176,0.0021,18.0,24.7676,1000,50,0.0,0.0,0.0,0.0,0.0,379.0,18.0,0.0475,False
0xa82afc3751a2e58ec985989eb7d51b3f0f179055,108779.0833521958,409823.174557,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xa82afc3751a2e58ec985989eb7d51b3f0f179055,0xa82afc3751a2E58Ec985989eb7d51B3F0F179055-1772382184810,,False,54.0,100.0,43.75,15.0,22.0,88.18,15245.5696,304.9114,4.5632,0.72,1697.3056,3,0.0,33.3333,0.0,0.0,0.479,0.0,0.0149,49.55,94.1875,1000,50,0.0,0.0,0.0,0.0,0.0,271.0,29.0,0.107,False
0xbfb9b87c5295ee8a023ea155765db3318178f142,9685.30185006413,49257.296397,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xbfb9b87c5295ee8a023ea155765db3318178f142,0xBFB9B87C5295ee8a023eA155765dB331817,,False,53.99,58.32,82.01,43.2,54.34,0.0,257.1316,5.1426,2.291,0.9,149.7203,3,0.0,0.5667,0.0,0.0,0.8421,0.6316,0.0219,1886.8509,2410.1366,57,50,0.0,0.0,0.0,0.0,0.0,51.0,43.0,0.8431,False
0xc35b532a9d01c665244ab6a6166ceb4a7eeb66b6,4821.365597000002,31281.038936,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xc35b532a9d01c665244ab6a6166ceb4a7eeb66b6,0xc35b532a9D01C665244ab6A6166ceB4A7ee,,False,53.97,60.02,88.21,43.2,40.2,0.0,238.0432,4.7609,2.4934,0.9,95.4342,2,0.0,0.5667,0.0,0.0,0.6562,0.4062,0.0171,1617.2583,2429.3969,64,50,0.0,0.0,0.0,0.0,0.0,61.0,56.0,0.918,False
0xb54de20cfbcf91005719500eb7fb428ad94647be,6363.961618358472,33329.11629700001,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xb54de20cfbcf91005719500eb7fb428ad94647be,Jodia,,False,53.96,63.59,60.76,15.0,69.92,81.86,527.0271,10.5405,1.9877,0.5,205.2421,8,0.0,33.3333,0.0,0.0,1.0,0.995,0.0017,10.2,26.6578,1000,50,0.0,0.0,0.0,0.0,0.0,705.0,78.0,0.1106,False
0xed86741e5223f1b72945f6c4002168b2588e78c7,41515.171172619295,1771097.0947979998,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xed86741e5223f1b72945f6c4002168b2588e78c7,MangoTrolley7,,False,53.88,66.07,66.35,15.0,55.11,81.44,886.1129,17.7223,1.3534,0.52,414.4421,4,0.0,33.3333,0.0,0.0,1.0,0.362,0.0353,7.75,10.2861,1000,50,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,False
0xe7e828cb74e6caa5292a27b5f996dc764e006f45,9899.718493165055,374392.608956,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xe7e828cb74e6caa5292a27b5f996dc764e006f45,sfkbjgbjhb,,False,53.83,44.77,79.57,15.0,70.42,87.36,255.5094,5.1102,1.1347,0.52,287.3848,2,0.0,33.3333,0.0,0.0,1.0,1.0,0.0139,44.067,55.5845,1000,50,0.0,0.0,0.0,0.0,0.0,97.0,1.0,0.0103,False
0x5f8efc57a97c0dd490aa2b81e1b8d1b333dd7aa9,11129.0,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x5f8efc57a97c0dd490aa2b81e1b8d1b333dd7aa9,StrawberryVigour,,False,53.79,92.2,26.25,36.47,34.58,80.78,9117.9531,607.8635,2.3317,0.8,3994.2,1,7244.6181,0.0667,0.0,0.0,0.5814,0.3023,0.0287,4.0,124.1725,43,48,0.0,0.0,0.0,0.0,0.0,35.0,6.0,0.1714,False
0x367640fae2394651943bdc026118c639a6d031b6,4958.456556000019,55267.202838,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x367640fae2394651943bdc026118c639a6d031b6,0x367640Fae2394651943Bdc026118C639a6D0,,False,53.79,62.54,83.73,40.48,46.22,0.0,303.9864,6.0797,2.5159,0.9,111.5798,3,0.0,0.3667,0.0,0.0,0.7759,0.431,0.0178,2667.545,2667.3031,58,50,0.0,0.0,0.0,0.0,0.0,58.0,56.0,0.9655,False
0xf0078630935f985f1d03f7d2b3cd4bfb76d810b4,20814.669171399823,303095.24763299996,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xf0078630935f985f1d03f7d2b3cd4bfb76d810b4,schwitzer,,False,53.65,75.81,47.84,15.0,65.0,82.38,1075.9122,21.5182,1.8134,0.6,825.8098,4,0.0,33.3333,0.0,0.0,1.0,0.79,0.0082,13.2,19.0878,1000,50,0.0,0.0,0.0,0.0,0.0,267.0,30.0,0.1124,False
